,Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Postcode,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
4928,14885,1005640036.0,,1-00564-0036,1077828,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,74859,,Multifamily Housing,,,,,,,,
14535,12790,1010210019.0,,,,1613,BROADWAY            ,Manhattan,10019.0,No Submission Matched to BBL,,,,,,,None,,,,,,130073.0,,1.0,40.760892999999996,-73.984449,5.0,3.0,125.0,1024793.0,Midtown-Midtown South                                                      
12102,11643,4098170030.0,,4-09817-0030,4210075,166-33,89 AVENUE,Queens,11432.0,Filed,53.9,53.5,62.9,62.5,116.3,No,Manual,Not Available,292.7,268.1,24.6,99344,99344.0,Multifamily Housing,1.0,,,,,,,
10917,7525,3007100001.0,,3007100001,3800004,4000,   1 AVENUE         ,Brooklyn,11232.0,Filed,38,38.7,64.6,65.3,Not Available,,None,Not Available,822.3,485.2,337.1,350000,374240.0,Non-Refrigerated Warehouse,1.0,40.655975,-74.01337099999999,7.0,38.0,18.0,3010557.0,Sunset Park West                                                           
3169,3603,1014390001.0,,1-01439-0001,1044689,1222,2 AVENUE,Manhattan,10065.0,Filed,94.9,94.9,152.6,152.5,39.59,Yes,ABS,Not Available,1402.3,984.1,418.2,193180,183013.0,Multifamily Housing,1.0,40.763825,-73.961984,8.0,5.0,118.0,1044689.0,Lenox Hill-Roosevelt Island                                                
3046,3462,1014060041.0,,1-01406-0041,1042818,1230,3 AVENUE,Manhattan,10021.0,Filed,72.8,72.5,149.4,149.1,Not Available,No,None,Not Available,1827.5,0,1827.5,294075,325680.0,Multifamily Housing,1.0,40.769172,-73.961046,8.0,4.0,128.0,1042818.0,Upper East Side-Carnegie Hill                                              
7514,7121,2054017501.0,,2-05401-7501,2074868,3030,MIDDLETOWN ROAD,Bronx,10461.0,Filed,54.2,Not Available,97.8,Not Available,3688.88,No,Manual,Not Available,174.8,93.7,81.1,50934,50934.0,Multifamily Housing,1.0,40.844134000000004,-73.829482,10.0,13.0,264.0,2074868.0,Schuylerville-Throgs Neck-Edgewater Park                                   
14515,13094,1019970030.0,,,,3247,BROADWAY,Manhattan,10027.0,No Submission Matched to BBL,,,,,,No,None,,,,,,62200.0,,1.0,40.817049,-73.95731500000001,9.0,7.0,219.0,1000000.0,Manhattanville                                                             
10040,9499,3074410231.0,,3074410231,3204404,2600,EAST   21 STREET,Brooklyn,11235.0,Filed,38.6,38.3,121.3,120.4,Not Available,No,None,Not Available,181.1,0,181.1,57596,52360.0,Multifamily Housing,1.0,40.58909,-73.948413,15.0,48.0,59401.0,3204404.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
15840,14094,3072500001.0,,,,2790,WEST    5 STREET,Brooklyn,11224.0,No Submission Matched to BBL,,,,,,No,None,,,,,,1259938.0,,1.0,40.580944,-73.971484,13.0,47.0,354.0,3257103.0,West Brighton                                                              
15384,13263,2025120015.0,,,,1041,NELSON AVENUE       ,Bronx,10452.0,No Submission Matched to BBL,,,,,,,None,,,,,,57720.0,,1.0,40.83364,-73.928145,4.0,8.0,189.0,2003209.0,Highbridge                                                                 
15118,14330,4019180097.0,,,,98-15,HOR HARDING EP SR N,Queens,11368.0,No Submission Matched to BBL,,,,,,No,None,,,,,,235000.0,,1.0,,,,,,,
5525,1983,1010097501.0,,1010097501,1085969,146,WEST   57 STREET,Manhattan,10019.0,Filed,96.2,95.9,220.1,219.2,Not Available,No,None,Not Available,3415,36.4,3378.6,423000,636916.0,Multifamily Housing,1.0,40.765152,-73.979199,5.0,4.0,137.0,1085969.0,Midtown-Midtown South                                                      
15273,12725,1008620016.0,,,,152,MADISON AVENUE,Manhattan,10016.0,No Submission Matched to BBL,,,,,,No,None,,,,,,98847.0,,1.0,40.746574,-73.983839,5.0,4.0,74.0,1017012.0,Midtown-Midtown South                                                      
11152,10126,4012750020.0,,4012750020,4029566,35-36,76 STREET,Queens,11372.0,Filed,140,140,218.6,218.6,Not Available,No,None,Not Available,952.5,636.2,316.3,113400,108000.0,Multifamily Housing,1.0,,,,,,,
