,Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Postcode,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
15463,12997,1015130001.0,,,,1001,PARK AVENUE,Manhattan,10028.0,No Submission Matched to BBL,,,,,,No,None,,,,,,68569.0,,1.0,40.779002,-73.958051,8.0,4.0,14801.0,1047668.0,Upper East Side-Carnegie Hill                                              
15365,13387,2031690002.0,,,,2066,MORRIS AVENUE,Bronx,10453.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,67957.0,,1.0,40.853644,-73.905141,5.0,14.0,241.0,2118451.0,Mount Hope                                                                 
2245,2618,1012330002.0,,1012330002,1033129,522,WEST END AVENUE,Manhattan,10024.0,Filed,67.3,66,97,95.5,Not Available,Yes,ABS,Not Available,408.6,319.9,88.7,80328,80328.0,Multifamily Housing,1.0,40.788416999999995,-73.978184,7.0,6.0,171.0,1033129.0,Upper West Side                                                            
6124,5495,2024610045.0,,2024610045,2002814,940,GRAND CONCOURSE,Bronx,10451.0,Filed,123.9,Not Available,164.7,Not Available,Not Available,No,None,Not Available,1363.5,1144.3,219.2,145728,145728.0,Multifamily Housing,1.0,40.828783,-73.921617,4.0,8.0,18301.0,2002814.0,East Concourse-Concourse Village                                           
11790,10942,4049940051.0,,4-04994-0051,4112963,34-20,PARSONS BOULEVARD,Queens,11354.0,Filed,81.8,Not Available,113.9,Not Available,Not Available,No,None,Not Available,800.6,645.6,155,130495,130500.0,Multifamily Housing,1.0,,,,,,,
7625,7253,2058021294.0,,2-05802-1294,2084217,6035,BROADWAY,Bronx,10471.0,Filed,83.6,83.6,120.6,120.6,50.83,Yes,ABS,Not Available,602.5,459.8,142.7,107627,107627.0,Multifamily Housing,1.0,40.891859000000004,-73.897216,8.0,11.0,351.0,2084217.0,North Riverdale-Fieldston-Riverdale                                        
10810,8172,3031377501.0,,3-03137-7501,3393923;3805704;3805703;3807897;3807895;3807893;3807891;3807888,68,BEAVER STREET,Brooklyn,11206.0,Filed,24.5,24.4,77,76.6,53.76,Yes,ABS,Not Available,284.6,0,284.6,142680,138761.0,Multifamily Housing,1.0,40.700106,-73.937446,4.0,34.0,389.0,3071805.0,Bushwick South                                                             
59,13380,2031340014.0,,,,984,BRONX PARK SOUTH,Bronx,10460.0,No Submission Matched to BBL,,,,,,No,None,,,,,,52030.0,,1.0,40.844819,-73.878502,6.0,15.0,361.0,2013274.0,East Tremont                                                               
14528,13202,1022440100.0,,,,5141,BROADWAY,Manhattan,10034.0,No Submission Matched to BBL,,,,,,No,None,,,,,,249390.0,,1.0,40.872384999999994,-73.91266800000001,12.0,10.0,297.0,1065045.0,park-cemetery-etc-Manhattan                                                
3762,4356,1018200061.0,,1-01820-0061,1054938,1809,ADAM C POWELL BLVD,Manhattan,10026.0,Filed,103.9,102.7,139.9,138.7,Not Available,Yes,ABS,Not Available,399.8,331.2,68.6,51456,51456.0,Multifamily Housing,1.0,40.799677,-73.955112,10.0,9.0,216.0,1054938.0,Central Harlem South                                                       
2849,3258,1013707501.0,,1013707501,1040645,40,SUTTON PLACE,Manhattan,10022.0,Filed,129.8,128.6,173.6,172.4,Not Available,No,None,Not Available,698.8,583.8,115,70909,65000.0,Multifamily Housing,1.0,40.758313,-73.959991,6.0,5.0,10601.0,1040645.0,Turtle Bay-East Midtown                                                    
8948,15791,3034100001.0,Secondary,3032750047;3032760001;3032850049;3032860001;3032960046;3032970001;3034030001;3034090032;3034100001;3034100033;3034150039,3074721;3075041;3075382;3078553;3078774;3078789;3325657;3325658;3325659;3325660;3325683;3325684;3325685;3325686;3325687;3325688;3325694;3325695;3325696;3325697;3326291;3326292;3326305;3326314;3326315,,,Brooklyn,,Not on Covered Buildings List,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,,,,,,,,,,
15135,13601,2057590573.0,,,,3411,IRWIN AVENUE,Bronx,10463.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,345000.0,,1.0,40.884141,-73.90601600000001,8.0,11.0,285.0,2083678.0,Spuyten Duyvil-Kingsbridge                                                 
14288,14572,4090280001.0,,,,92-06,ATLANTIC AVENUE,Queens,11416.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,78820.0,,1.0,,,,,,,
12190,11785,4133800011.0,,4-13380-0011,4286131,175-21,149 AVENUE,Queens,11434.0,Filed,107.7,106.8,191.3,189.9,Not Available,No,None,Not Available,469.7,258.6,211.1,69345,67000.0,Other - Lodging/Residential,1.0,,,,,,,
2253,2627,1012340007.0,,1012340007,1033196,257,WEST   86 STREET,Manhattan,10024.0,Filed,73.5,72.8,112.3,111.2,Not Available,No,None,Not Available,379.2,279.4,99.8,68821,67142.0,Multifamily Housing,1.0,40.788559,-73.977065,7.0,6.0,175.0,1033196.0,Upper West Side                                                            
9849,9249,3067710006.0,,3-06771-0006,3182215,3620,BEDFORD AVENUE,Brooklyn,11210.0,Filed,107.3,106.2,136.9,135.7,Not Available,No,None,Not Available,374.8,316,58.8,62250,62000.0,Multifamily Housing,1.0,40.613906,-73.949294,14.0,48.0,548.0,3182215.0,Madison                                                                    
6877,6321,2032480100.0,,2032480100,2015274,2725,UNIVERSITY AVENUE,Bronx,10468.0,Filed,100.3,Not Available,127.2,Not Available,Not Available,No,None,Not Available,517.2,449.9,67.3,68445,68445.0,Multifamily Housing,1.0,40.869501,-73.900121,8.0,14.0,26701.0,2015274.0,Van Cortlandt Village                                                      
7081,6545,2033190107.0,,2033190107,2017603,2877,GRAND CONCOURSE,Bronx,10468.0,Filed,122.8,122.9,162.1,162.1,Not Available,No,None,Not Available,555.9,468.9,87,60366,75560.0,Multifamily Housing,1.0,40.870743,-73.889999,7.0,14.0,40701.0,2017603.0,Van Cortlandt Village                                                      
8336,7411,3002350020.0,,3002350020,3001790,135,WILLOW STREET,Brooklyn,11201.0,Filed,67.4,67,95.9,95.2,Not Available,No,None,Not Available,394.1,295.7,98.4,100558,91416.0,Multifamily Housing,1.0,40.697123,-73.995925,2.0,33.0,301.0,3001790.0,Brooklyn Heights-Cobble Hill                                               
10748,7995,3021347501.0,,3021347501,3387991,446,KENT AVENUE,Brooklyn,11249.0,Filed,79.8,Not Available,133.1,Not Available,50,Yes,ABS,Not Available,431.8,262.7,169.1,88097,88760.0,Multifamily Housing,1.0,40.70899,-73.96848299999999,1.0,33.0,547.0,3387991.0,North Side-South Side                                                      
870,993,1007697505.0,,1-00769-7505,1013970,251,WEST   19 STREET,Manhattan,10011.0,Filed,85.2,84.6,139.4,138.8,Not Available,Yes,None,Not Available,375.9,235.4,140.5,72312,72112.0,Multifamily Housing,1.0,40.742258,-73.99887,4.0,3.0,87.0,1013970.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1826,2090,1010430013.0,,1-01043-0013,1025240,333,WEST   52 STREET,Manhattan,10019.0,Filed,103.7,101.7,210.5,208.6,Not Available,No,Manual,64,824.9,410.5,414.4,102513,90000.0,Office,1.0,40.764004,-73.986264,4.0,3.0,133.0,1025240.0,Clinton                                                                    
7393,6952,2043190015.0,,2-04319-0015,2049405,2186,CRUGER AVENUE,Bronx,10462.0,Filed,97.6,97.6,123.3,123.3,Not Available,No,None,Not Available,607.6,530.1,77.5,82614,70812.0,Multifamily Housing,1.0,40.856002000000004,-73.866635,11.0,13.0,22403.0,2049405.0,Pelham Parkway                                                             
1397,1596,1008640025.0,,1-00864-0025,1017098,185,MADISON AVENUE,Manhattan,10016.0,Filed,84.5,Not Available,181,Not Available,Not Available,No,None,69,632.7,0,632.7,88000,79961.0,Office,1.0,40.747861,-73.982875,6.0,2.0,74.0,1017098.0,Midtown-Midtown South                                                      
16081,13414,2032640104.0,,,,188,WEST  230 STREET,Bronx,10463.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,59000.0,,1.0,40.876938,-73.905737,8.0,14.0,283.0,2016115.0,Spuyten Duyvil-Kingsbridge                                                 
